path,category,subsystem,bytes,sha256,lines,method,review_depth,declarations,markers
docs/epics/standing-agent-engine/sprints/sprint-1-continuous-cognition/SAE-102-agent-continuous-loop.md,documentation/instructions: content excluded from behavioral evidence,docs,1451,c9dfa7463911fb21ec71ba49e9281e5475d0184888595ac1bff7c54e238394cb,25,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-1-continuous-cognition/SAE-103-dual-process-brain.md,documentation/instructions: content excluded from behavioral evidence,docs,2426,dec47ffc0ec345067ff23bc86107761a5d804a6bf826ba9a5a7e156f23dc2e58,33,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-1-continuous-cognition/SAE-104-tick-memory-filter.md,documentation/instructions: content excluded from behavioral evidence,docs,1494,a72f651321658643dc5e08f089c440a1b6d3ffc0599c9a4604c4d12b995cddbb,25,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-2-world-adapters/SAE-201-affordance-negotiation.md,documentation/instructions: content excluded from behavioral evidence,docs,1405,b92cd65e00dd18256d0fef16f56b3c57af5c0a6e0789a33771d0bd82a1de1632,24,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-2-world-adapters/SAE-202-authoritative-estop.md,documentation/instructions: content excluded from behavioral evidence,docs,1585,0da82c12054fbbcc8762b4991f5268bee5ad0563f67e6b009d799943693e1246,25,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-2-world-adapters/SAE-203-stream-world-adapter.md,documentation/instructions: content excluded from behavioral evidence,docs,1273,71568d7f5ca976d70a81cd1fe531fb333069772d2dce8036a1ed65ba34731c07,24,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-2-world-adapters/SAE-204-multi-adapter-composition.md,documentation/instructions: content excluded from behavioral evidence,docs,1321,435207c9a3c45eb5ef578caf59670670b0f73e9e8daa91c6b241b4e6f639f58b,22,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-3-fleet-intent-steering/SAE-301-organization-squad-tenancy.md,documentation/instructions: content excluded from behavioral evidence,docs,1408,25612a0357d6d4b381ef44ed18b5c66cb4d075b30f53d02ee4f1b63d6d9adc15,27,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-3-fleet-intent-steering/SAE-302-composite-intent-charter.md,documentation/instructions: content excluded from behavioral evidence,docs,1546,16a0794e0f81144c28f03d53158e2d78a30c3b9fc5420b3c4115f995c532de21,26,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-3-fleet-intent-steering/SAE-303-inflight-course-correction.md,documentation/instructions: content excluded from behavioral evidence,docs,1748,ad5d3448edc0d78156e78519cf041fb69fbdb6fe6407ace2a0e5564113945dcb,30,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-3-fleet-intent-steering/SAE-304-fleet-supervisor-lifecycle.md,documentation/instructions: content excluded from behavioral evidence,docs,1665,8157882e9d36979669c30b4afad49518f79d248c97d73994429c55eaa0b38a55,28,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-4-engine-config-inference/SAE-401-declarative-engine-config.md,documentation/instructions: content excluded from behavioral evidence,docs,1526,b68e87faf30a3d22fe4a295fa319f719ed64c08f94b589309379950f4304e91a,27,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-4-engine-config-inference/SAE-402-node-roles-standalone-coordinator-runner.md,documentation/instructions: content excluded from behavioral evidence,docs,1335,a70c4dbd595cb7c2c90fc1743a5a2a11b05e3fc8e004c5610d9ca4551ffe3dad,26,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-4-engine-config-inference/SAE-403-decoupled-gpu-inference-routing.md,documentation/instructions: content excluded from behavioral evidence,docs,1340,5c25fc6490aa077a776ef20eb09f1392e895c39329a4b6dfa1a0a4b346128d88,23,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-4-engine-config-inference/SAE-404-moveable-volume-state-checkpoint.md,documentation/instructions: content excluded from behavioral evidence,docs,1634,ba7937086ab6a88674d56eef53d529dc524b555bcb481fdfe35a32ed0d95c416,30,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-5-fleet-portal-experience/SAE-501-fleet-creation-api.md,documentation/instructions: content excluded from behavioral evidence,docs,1394,2bd02b3d4bf074c0247b8b6680a9e122a164b9ea59397a79b1fc45b581561438,25,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-5-fleet-portal-experience/SAE-502-zero-compute-thought-telemetry.md,documentation/instructions: content excluded from behavioral evidence,docs,1383,4563ae6a3014e06f8d3196c32b4600cd4524f1c41f9b830f057753c251c39666,26,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-5-fleet-portal-experience/SAE-503-operator-control-surface-intent-steering-estop.md,documentation/instructions: content excluded from behavioral evidence,docs,1797,600779c7c81767e22d69ded1f401fc845872096183d02fb872381cd444b26d47,31,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-7-agent-reliability-and-agency/CONTRACT.md,documentation/instructions: content excluded from behavioral evidence,docs,7369,de032752948be318fa072b605c1eaac438a12984b79e4e4051a0f9081f517e07,79,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-7-agent-reliability-and-agency/README.md,documentation/instructions: content excluded from behavioral evidence,docs,10890,bd1caf8392cfcd168871aa2a8b6070327c318957c13ed55b77c2806770831bec,117,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-7-agent-reliability-and-agency/SAE-701.md,documentation/instructions: content excluded from behavioral evidence,docs,2304,33811644c229fd0fc788e140a00b43157c6764b422ddb3f9ff1025c2457f6013,34,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-7-agent-reliability-and-agency/SAE-702.md,documentation/instructions: content excluded from behavioral evidence,docs,2890,ea34343b51918614711d962653b65c8220ff240e58ed61f9ab8304723aa5b135,36,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-7-agent-reliability-and-agency/SAE-703.md,documentation/instructions: content excluded from behavioral evidence,docs,2671,5ac6908d64bf77fb21f59e56b8738a8963a29b5da382d6526ce859c092d2f3cd,38,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-7-agent-reliability-and-agency/SAE-704.md,documentation/instructions: content excluded from behavioral evidence,docs,2130,e05dd296c60a617260e7049443ae876872b5d445f3ccd9e07cf1a7f3df95b900,34,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-7-agent-reliability-and-agency/SAE-705.md,documentation/instructions: content excluded from behavioral evidence,docs,2176,6d861a4779a29b0937a8bc7777ccc6318384e0d6e0012500fd6b1bacfe8115da,34,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-7-agent-reliability-and-agency/SAE-706.md,documentation/instructions: content excluded from behavioral evidence,docs,2657,33c18cd0d6e09cf97f351494a18d7897357f22220e88de4eae0aeaae2ce5385b,36,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-7-agent-reliability-and-agency/SAE-707.md,documentation/instructions: content excluded from behavioral evidence,docs,2618,27e30e1564282030456ed26d6a3ece8ad689936cc78794c47c5af55d58de74bd,36,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-7-agent-reliability-and-agency/SAE-708.md,documentation/instructions: content excluded from behavioral evidence,docs,2579,543c504b3f0066402785a7b6db4187568d159193b6641b97eb881707575ad346,36,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-7-agent-reliability-and-agency/SAE-709.md,documentation/instructions: content excluded from behavioral evidence,docs,1582,53555d949b136245d31de2059ac52b3e01514bc297af2dd3c4e262514edfd27f,30,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-7-agent-reliability-and-agency/SAE-710.md,documentation/instructions: content excluded from behavioral evidence,docs,1518,fe305b463e3dd9d8194b6cd76f7422cfd479effb069ef531d9815823003b140d,30,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-7-agent-reliability-and-agency/SAE-711.md,documentation/instructions: content excluded from behavioral evidence,docs,1611,ac15d22238639e7acc05723d6c47c31d6d78aebe704481367fb5c1991323c69e,30,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/standing-agent-engine/sprints/sprint-7-agent-reliability-and-agency/SAE-712.md,documentation/instructions: content excluded from behavioral evidence,docs,1645,ad32a6194f1af3c442c1b36a3bf06ffbdddeaad2a1dbd9359ec33b6616a19b5b,30,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/README.md,documentation/instructions: content excluded from behavioral evidence,docs,6913,7145840d6b7840ebdbf1e28efa12b59ad37f5fdd1e1259e46491935ea9a4faa3,96,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-1-single-agent-local-loop/VIL-101-protocol-wire-specification.md,documentation/instructions: content excluded from behavioral evidence,docs,2224,8e3754abf1ad480b1e4a8553e7e690bcb20e7daac19c8d03027974299c1a902b,34,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-1-single-agent-local-loop/VIL-102-village-world-adapter.md,documentation/instructions: content excluded from behavioral evidence,docs,1610,c8b4c7c5a767968574db7cf837c8999f969a1bc23aeef354daee1b378d1cf973,29,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-1-single-agent-local-loop/VIL-103-single-agent-local-sanity-test.md,documentation/instructions: content excluded from behavioral evidence,docs,1876,edf94f7897e28e3c5ea4df0c37776c4e2203018891a4d85b3bb3684a0dc6d46e,29,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-2-authoritative-world-server/VIL-201-scaffold-colyseus-world-server.md,documentation/instructions: content excluded from behavioral evidence,docs,1552,3e5eca4e03e9aee9c3e32b02e548f8443f2e6ac0f187effdab255d5012bf596e,29,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-2-authoritative-world-server/VIL-202-authoritative-grid-pathfinding.md,documentation/instructions: content excluded from behavioral evidence,docs,1522,704f9818cbd3e2764fa92e0ccda74533fb0732d3e4864f561f6287d39ed14e32,27,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-2-authoritative-world-server/VIL-203-tetonic-gateway-websocket-bridge.md,documentation/instructions: content excluded from behavioral evidence,docs,1449,b1a40104937b176d0dd50b4a4b1fdfc0a9b42f472e5268190db0a6d3abbc9f51,26,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-3-generative-world-mechanics/VIL-301-modifiable-canvas-construction.md,documentation/instructions: content excluded from behavioral evidence,docs,2648,cd273e00eaaffd454456b6ea1b23a901940b2c42d760937d5923f79694484dd2,32,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-3-generative-world-mechanics/VIL-302-resource-economy-supply-graph.md,documentation/instructions: content excluded from behavioral evidence,docs,1657,ea2ab843ba5b64fbecac916f0a3f3f8ef7d00c85cd50cfd383e5e712ba6a5bd9,28,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-3-generative-world-mechanics/VIL-303-spatial-information-notice-board.md,documentation/instructions: content excluded from behavioral evidence,docs,1599,3f5b447fd2b1868aadfbcdfa5c4da226bb967bd2bb06f0d232ff349697eac31c,26,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-3-generative-world-mechanics/VIL-304-visitor-object-creation-and-discovery.md,documentation/instructions: content excluded from behavioral evidence,docs,2638,95d6c41e244679410a05178fee3a5f8b8c28c51b71b026b4b5f1440d77cc6c2c,35,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-4-spectator-view-integration/VIL-401-pixi-colyseus-room-sync.md,documentation/instructions: content excluded from behavioral evidence,docs,1368,6d6540df5ae97f625ee367496c88177a6b88533193cd8efa9730f5efb7fe92d6,26,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-4-spectator-view-integration/VIL-402-live-thought-inspector-hud.md,documentation/instructions: content excluded from behavioral evidence,docs,1535,1a78e46decd1710bf5f04a7524d0133e55bc047be6fa2e38a0e5adedaad58eb9,26,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-4-spectator-view-integration/VIL-403-dynamic-construction-rendering.md,documentation/instructions: content excluded from behavioral evidence,docs,1656,1a1291b89331bc8df03207e874276fec5b3f542ae8aa0620d3bc07462d600453,27,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-5-looking-glass-experiment-launch/VIL-501-looking-glass-visitor-conduit.md,documentation/instructions: content excluded from behavioral evidence,docs,2211,6d3998973cbb4eb60d83548cf9f6cb43a7569a370dec5f303fb51ce2ffdb4fd4,33,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-5-looking-glass-experiment-launch/VIL-502-founding-trio-fleet-bootstrap.md,documentation/instructions: content excluded from behavioral evidence,docs,1733,b37b5bd78403c82fd7164379680e410c232217e79a3749db15c529e5f93f5cac,26,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-5-looking-glass-experiment-launch/VIL-503-24h-soak-test-safety-verification.md,documentation/instructions: content excluded from behavioral evidence,docs,1773,ddcd8559cdab208f0b7c36eefe7c10e45067402fee1088168e096398b5b0e285,28,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-6-production-deployment-and-soak-test/VIL-601-production-deployment-architecture.md,documentation/instructions: content excluded from behavioral evidence,docs,2054,76c03dc403d977f7fd3e41a924cb2d46dfc7115775e10e63a513b1d96f108129,33,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-6-production-deployment-and-soak-test/VIL-602-deployment-orchestration-and-monitoring.md,documentation/instructions: content excluded from behavioral evidence,docs,1834,0a7d269ae1c21ea4a692d1d47c7f0a9ff54f13425864f12b2e28f257092011b6,31,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/epics/the-village/sprints/sprint-6-production-deployment-and-soak-test/VIL-603-24h-production-soak-and-cost-audit.md,documentation/instructions: content excluded from behavioral evidence,docs,1530,bc577e76962b48d724f0011d172dcafa3ac8261844edc1eabe867d077ec5fa98,27,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/implementation/contracts/agent-rpc-v1.md,documentation/instructions: content excluded from behavioral evidence,docs,23337,e2b2be150a9105f614d43011b0b2986b9c9fb17f2c8b2d4c4f8104e4fc88f758,224,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/implementation/contracts/capacity-profile-v1.md,documentation/instructions: content excluded from behavioral evidence,docs,6380,3514d06ebb5d416481bffb9d5638eab06eaf81b2cd1fcda5180fc54c952edf89,181,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/implementation/contracts/circle-v1.md,documentation/instructions: content excluded from behavioral evidence,docs,3423,916feddfc1c306955673d4ae3b1d8d2f245c358fd4a8c954f1c7202565dbae1c,86,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/implementation/contracts/code-index-v1.md,documentation/instructions: content excluded from behavioral evidence,docs,13729,12b94b89041d36d9db4a25285b444eda20c76a5fa07809e20483e67d933abc8b,143,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/implementation/contracts/coding-tools-v1.md,documentation/instructions: content excluded from behavioral evidence,docs,11739,e598bc191003ad9bff563e207249be9a85f5f72b105da201d91a60c2679f0f6a,169,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/implementation/contracts/egress-guard-v1.md,documentation/instructions: content excluded from behavioral evidence,docs,10995,f59b7be0365d5e24437343b54568e0cb8ffc01c20e53f573c300f3dcdcc44eee,147,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/implementation/contracts/estate-v1.md,documentation/instructions: content excluded from behavioral evidence,docs,4927,b42399dea4d3d7a3082e3a1380335164a9b682ae888e3b2f1576c35e9e75f45b,115,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/implementation/contracts/execution-contract-v1.md,documentation/instructions: content excluded from behavioral evidence,docs,3039,b08fe875977ccdd5e276b82e1103ca096e164035f25ecd90a33023745e4b7b5b,85,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/implementation/contracts/fabric-compatibility-matrix.md,documentation/instructions: content excluded from behavioral evidence,docs,3014,0b40f6106c0763cb35032c0dedf744a7cb626a9e25d3164f4290bbc0954718ec,68,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/implementation/contracts/fabric-protocol-v1.md,documentation/instructions: content excluded from behavioral evidence,docs,4004,a59d4cfce728e6014714a01fba419fe870e2ea1b9e6a3a83c1a41cba2998e8bd,176,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/implementation/contracts/fabric-transport-v1.md,documentation/instructions: content excluded from behavioral evidence,docs,7043,a751a838b49bc7641ff9c3344bcc5a01d56082ba8a411c3bd94800c31fdbd701,134,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
docs/implementation/contracts/inference-fabric-v1.md,documentation/instructions: content excluded from behavioral evidence,docs,13621,e76a9ff9540bd817a399a42947cd2bae7f808ac47507044e09164aad28871f83,201,hash/classification only,mechanical; see source-cited narrative for semantic tracing,0,0
